,Title
1036,I Know What You Did Last Summer
1037,Lawless
1038,The House Bunny
1039,Immortals
1040,Cars 2
1041,Deliverance
1042,Cats
1043,Homeward Bound: The Incredible Journey
1044,The King's Speech
1045,Incredibles 2
1046,The Snowman
1047,Crimson Peak
1048,Haunting of the Queen Mary
1049,The Twilight Saga: Breaking Dawn - Part 1
1050,Sister Act
1051,Crash
1052,Paddington 2
1053,Liar Liar
1054,The Piano Teacher
1055,Inkheart
1056,The Lost World: Jurassic Park
1057,Pee-wee's Big Adventure
1058,The Dive
1059,The Ministry of Ungentlemanly Warfare
1060,The Divergent Series: Insurgent
1061,Sex Tape
1062,Lee
1063,The Flintstones
1064,Road Trip
1065,The Remains of the Day
1066,Sleepers
1067,The Taste of Things
1068,Fatal Attraction
1069,Boston Strangler
1070,The Black Demon
1071,Tinker Tailor Soldier Spy
1072,Tarzan
1073,The Wailing
1074,The Beach
1075,Rabbit Hole
1076,Dicks: The Musical
1077,Hocus Pocus
1078,Cinderella
1079,Cross of Iron
1080,Wreck-It Ralph
1081,Revolutionary Road
1082,The Spiderwick Chronicles
1083,The Mighty Ducks
1084,Chef
1085,The Founder
1086,Going Home
1087,The Hitchhiker's Guide to the Galaxy
1088,It Could Happen to You
1089,Mulan
1090,50 First Dates
1091,This Is Where I Leave You
1092,Friday the 13th
1093,Evil
1094,Killing Them Softly
1095,Dallas Buyers Club
1096,Don Jon
1097,Rambo: Last Blood
1098,Lamb
1099,Brave
1100,Finch
1101,Code 8
1102,The Peasants
1103,Colette
1104,Resident Evil: Death Island
1105,Piranha 3D
1106,Under the Silver Lake
1107,Living
1108,The Bad and the Beautiful
1109,Austin Powers: The Spy Who Shagged Me
1110,The Collective
1111,An American Werewolf in London
1112,Hugo
1113,First Man
1114,Meet the Parents
1115,Don't Breathe
1116,Drive My Car
1117,10
1118,Casper
1119,Dick Tracy
1120,Project X
1121,Coming to America
1122,In the Shadow of the Moon
1123,Four Weddings and a Funeral
1124,Jujutsu Kaisen 0
1125,Pixels
1126,Let It Snow
1127,Single All the Way
1128,Gravity
1129,Sharper
1130,"Honey, I Shrunk the Kids"
1131,Wayne's World
1132,The World Is Not Enough
1133,Beverly Hills Cop II
1134,Jigarthanda Double X
1135,Lincoln
1136,Role Play
1137,Mamma Mia! Here We Go Again
1138,8-Bit Christmas
1139,Drive-Away Dolls
1140,The People Under the Stairs
1141,Memory
1142,Rise of the Guardians
1143,Good Luck Chuck
1144,The Girl in the Spider's Web
1145,Lethal Weapon 5
1146,Vertigo
1147,Cars 3
1148,Singin' in the Rain
1149,The Machinist
1150,Now You See Me 2
1151,"O Brother, Where Art Thou?"
1152,La haine
1153,Munchies
1154,Anna Karenina
1155,Resident Evil: Welcome to Raccoon City
1156,The Warriors
1157,Jackie Brown
1158,Maybe I Do
1159,Picture of Beauty
1160,Public Enemies
1161,Welcome al Norte
1162,Ghostbusters
1163,Adore
1164,Unbroken
1165,Tomorrow Never Dies
1166,Thor: The Dark World
1167,Match Point
1168,Brazil
1169,Persuasion
1170,Dogma
1171,Better Watch Out
1172,The Adjustment Bureau
1173,Transformers: The Last Knight
1174,Insomnia
1175,Watcher
1176,Corpse Bride
1177,Malice
1178,This Is Spinal Tap
1179,The Twilight Saga: New Moon
1180,The Mother
1181,Panic Room
1182,Rise of the Footsoldier: Vengeance
1183,Bridge of Spies
1184,Warcraft
1185,San Andreas
1186,The Legend of Tarzan
1187,Wait Until Dark
1188,Finestkind
1189,Hustle
1190,Jurassic World: Fallen Kingdom
1191,Modern Romance
1192,Dark Harvest
1193,Murder Mystery 2
1194,This Is Christmas
1195,Little Shop of Horrors
1196,Jack Reacher: Never Go Back
1197,Sitting in Bars with Cake
1198,Alexander
1199,Decision to Leave
1200,Logan Lucky
1201,Wanted
1202,Desperado
1203,Outlaw Johnny Black
1204,Snow White and the Seven Dwarfs
1205,Mona Lisa Smile
1206,Rocketman
1207,Boudica: Queen of War
1208,MaXXXine
1209,The Jungle Book
1210,Black Christmas
1211,Colossal
1212,Fast & Furious
1213,Your Christmas or Mine?
1214,Boyz n the Hood
1215,The Expendables 3
1216,The Peanut Butter Falcon
1217,Friday the 13th
1218,She Said
1219,"Good Luck to You, Leo Grande"
1220,The Babysitter
1221,Vengeance
1222,Vivarium
1223,There's Still Tomorrow
1224,Luca
1225,Those Who Wish Me Dead
1226,Gattaca
1227,Game Night
1228,Bob Marley: One Love
1229,Ticket to Paradise
1230,Hush
1231,Bright
1232,The Twilight Saga: Eclipse
1233,Licence to Kill
1234,Ronin
1235,Furious 7
1236,Stalker
1237,Lilo & Stitch
1238,Strays
1239,Fargo
1240,A Christmas Story
1241,Babylon
1242,Alien
1243,The Menu
1244,The Nun II
1245,Feast of the Seven Fishes
1246,Deadpool 3
1247,The Little Mermaid
1248,Joker: Folie à Deux
1249,Avatar: The Way of Water
1250,Bihter
1251,Spirited
1252,The Christmas Express
1253,Silent Night
1254,The Big Lebowski
1255,Midsommar
1256,Renfield
1257,Se7en
1258,Bullet Train
1259,The Garfield Movie
1260,Kong: Skull Island
1261,The Last Duel
1262,Joker
1263,Death on the Nile
1264,Downsizing
1265,PAW Patrol: The Mighty Movie
1266,Gone Girl
1267,Pearl
1268,Fast X
1269,Sixteen Candles
1270,Nosferatu
1271,Damsel
1272,Avengers: Endgame
1273,Murder on the Orient Express
1274,Believer
1275,Home for the Holidays
1276,Four Christmases
1277,The Kill Room
1278,The Whale
1279,The Exorcist: Believer
1280,Godzilla
1281,BlackBerry
1282,Scream
1283,Parasite
1284,David Holmes: The Boy Who Lived
1285,Harry Potter and the Goblet of Fire
1286,The Matrix
1287,The Last Voyage of the Demeter
1288,Metropolis
1289,Summer Snow
1290,Master Gardener
1291,Close
1292,The Royal Tenenbaums
1293,Breakfast at Tiffany's
1294,The Hurt Locker
1295,The Wolfman
1296,Monamour
1297,The Caine Mutiny Court-Martial
1298,Peppermint
1299,The Lego Movie
1300,X2
1301,The Tragedy of Macbeth
1302,"I, Robot"
1303,2 Fast 2 Furious
1304,Fences
1305,The Outfit
1306,Midway
1307,Hostel: Part II
